A;205;20020603 10:28;MSMITH;
D;205;1923630;65;20020603 10:28;V;;;;;;
D;205;1923630;65;20020603 10:28;V;;;;;;
B;205;1923688;66;20020603 10:28;;1;38;FOSTER ST;LEICHHARDT;2040;;;20020315;20020429;530000;;R;RESIDENCE;1;;;;8567058;
C;205;1923688;66;20020603 10:28;1//SP 57862;
D;205;1923688;66;20020603 10:28;P;;;;;;
D;205;1923688;66;20020603 10:28;P;;;;;;
D;205;1923688;66;20020603 10:28;V;;;;;;
B;205;1923704;67;20020603 10:28;;;14;FOSTER ST;LEICHHARDT;2040;;;20020305;20020412;415000;A;R;RESIDENCE;;EB;;;8552509;
C;205;1923704;67;20020603 10:28;3//1135;
D;205;1923704;67;20020603 10:28;P;;;;;;
D;205;1923704;67;20020603 10:28;P;;;;;;
D;205;1923704;67;20020603 10:28;V;;;;;;
D;205;1923704;67;20020603 10:28;V;;;;;;
B;205;1924190;68;20020603 10:28;;;7;GEORGE ST;BALMAIN;2041;107.5;M;20020316;20020501;430000;A;R;RESIDENCE;;EC;;;8563039;
C;205;1924190;68;20020603 10:28;C//157914;
D;205;1924190;68;20020603 10:28;P;;;;;;
D;205;1924190;68;20020603 10:28;V;;;;;;
B;205;1924485;69;20020603 10:28;;;64;GLASSOP ST;BALMAIN;2041;;;20020211;20020422;1350000;A;R;RESIDENCE;;EC;;;8594865;
C;205;1924485;69;20020603 10:28;5/2/901;
D;205;1924485;69;20020603 10:28;P;;;;;;
D;205;1924485;69;20020603 10:28;V;;;;;;
B;205;1924854;70;20020603 10:28;;7;415;GLEBE POINT RD;GLEBE;2037;;;20020417;20020524;660000;;R;RESIDENCE;7;;;;8633789;
C;205;1924854;70;20020603 10:28;7//11768;
D;205;1924854;70;20020603 10:28;P;;;;;;
B;205;1925170;71;20020603 10:28;;;15;GORDON ST;ROZELLE;2039;113.8;M;20020309;20020422;445000;A;R;RESIDENCE;;EA;;;8546111;
C;205;1925170;71;20020603 10:28;3//233422;
D;205;1925170;71;20020603 10:28;P;;;;;;
D;205;1925170;71;20020603 10:28;P;;;;;;
D;205;1925170;71;20020603 10:28;V;;;;;;
B;205;1925187;72;20020603 10:28;;;30;GORDON ST;ROZELLE;2039;615.6;M;20020213;20020327;1125000;I;R;RESIDENCE;;DS;;;8556814;
C;205;1925187;72;20020603 10:28;1//206504;
D;205;1925187;72;20020603 10:28;P;;;;;;
D;205;1925187;72;20020603 10:28;P;;;;;;
D;205;1925187;72;20020603 10:28;V;;;;;;
B;205;1925237;73;20020603 10:28;;;51;GOTTENHAM ST;GLEBE;2037;;;20020205;20020429;472000;A;R;RESIDENCE;;EA;;;8576681;
C;205;1925237;73;20020603 10:28;4//218840;
D;205;1925237;73;20020603 10:28;P;;;;;;
D;205;1925237;73;20020603 10:28;P;;;;;;
D;205;1925237;73;20020603 10:28;V;;;;;;
B;205;1925402;74;20020603 10:28;;11;26;GROVE ST;BIRCHGROVE;2041;;;20020304;20020405;685000;;R;RESIDENCE;11;;;;8589486;
C;205;1925402;74;20020603 10:28;11//5128;
D;205;1925402;74;20020603 10:28;P;;;;;;
D;205;1925402;74;20020603 10:28;V;;;;;;
B;205;1925402;75;20020603 10:28;;26;26;GROVE ST;BIRCHGROVE;2041;;;20020304;20020405;685000;;R;RESIDENCE;26;;;;8589486;
C;205;1925402;75;20020603 10:28;26//5128;
D;205;1925402;75;20020603 10:28;P;;;;;;
D;205;1925402;75;20020603 10:28;V;;;;;;
B;205;1925768;76;20020603 10:28;;;34;HARTLEY ST;ROZELLE;2039;82.2;M;20020321;20020509;506000;A;R;RESIDENCE;;EA;;;8592090;
C;205;1925768;76;20020603 10:28;1//205362;
D;205;1925768;76;20020603 10:28;P;;;;;;
D;205;1925768;76;20020603 10:28;P;;;;;;
D;205;1925768;76;20020603 10:28;V;;;;;;
D;205;1925768;76;20020603 10:28;V;;;;;;
B;205;1925861;77;20020603 10:28;;;98;HAY ST;LEICHHARDT;2040;162.9;M;20020309;20020422;620000;A;R;RESIDENCE;;EA;;;8542835;
C;205;1925861;77;20020603 10:28;1//825370;
D;205;1925861;77;20020603 10:28;P;;;;;;
D;205;1925861;77;20020603 10:28;P;;;;;;
