A;089;20011109 09:19;CDIXON;
C;089;813730;58;20011109 09:19;2//11817;
D;089;813730;58;20011109 09:19;P;;;;;;
D;089;813730;58;20011109 09:19;P;;;;;;
D;089;813730;58;20011109 09:19;V;;;;;;
B;089;813753;59;20011109 09:19;;3;17;CAROLINE ST;WESTMEAD;2145;;;20010501;20010709;169000;;R;RESIDENCE;3;;;;7783021;
C;089;813753;59;20011109 09:19;3//3876;
D;089;813753;59;20011109 09:19;P;;;;;;
D;089;813753;59;20011109 09:19;V;;;;;;
B;089;813753;60;20011109 09:19;;24;17;CAROLINE ST;WESTMEAD;2145;;;20010501;20010709;169000;;R;RESIDENCE;24;;;;7783021;
C;089;813753;60;20011109 09:19;24//3876;
D;089;813753;60;20011109 09:19;P;;;;;;
D;089;813753;60;20011109 09:19;V;;;;;;
B;089;813826;61;20011109 09:19;;5;20 B;CAROLINE ST;WESTMEAD;2145;;;20010627;20010716;330000;;R;RESIDENCE;5;;;;7783007;
C;089;813826;61;20011109 09:19;5//SP 49509;
D;089;813826;61;20011109 09:19;P;;;;;;
D;089;813826;61;20011109 09:19;V;;;;;;
D;089;813826;61;20011109 09:19;V;;;;;;
B;089;814117;62;20011109 09:19;;;38;CARSON ST;DUNDAS;2117;948.5;M;20010528;20010709;412000;A;R;RESIDENCE;;AE;;;7813626;
C;089;814117;62;20011109 09:19;9//31560;
D;089;814117;62;20011109 09:19;P;;;;;;
D;089;814117;62;20011109 09:19;P;;;;;;
D;089;814117;62;20011109 09:19;V;;;;;;
B;089;814128;63;20011109 09:19;;;10;CARSON ST;DUNDAS;2117;;;20010514;20010703;395000;A;R;RESIDENCE;;AE;;;7745868;
C;089;814128;63;20011109 09:19;25/7/775;
D;089;814128;63;20011109 09:19;P;;;;;;
D;089;814128;63;20011109 09:19;P;;;;;;
D;089;814128;63;20011109 09:19;V;;;;;;
D;089;814128;63;20011109 09:19;V;;;;;;
D;089;814128;63;20011109 09:19;V;;;;;;
B;089;814674;64;20011109 09:19;;5;4;CHARLES ST;PARRAMATTA;2150;;;20010504;20010608;194000;;3;OFFICE;5;;;;7801754;
C;089;814674;64;20011109 09:19;5//19863;
D;089;814674;64;20011109 09:19;P;;;;;;
D;089;814674;64;20011109 09:19;V;;;;;;
B;089;814766;65;20011109 09:19;;;46;CHELMSFORD AVE;EPPING;2121;;;20010331;20010522;642000;A;R;RESIDENCE;;AB;;;7738218;
C;089;814766;65;20011109 09:19;25//9542;
D;089;814766;65;20011109 09:19;P;;;;;;
D;089;814766;65;20011109 09:19;P;;;;;;
D;089;814766;65;20011109 09:19;V;;;;;;
B;089;815572;66;20011109 09:19;;5;529;CHURCH ST;PARRAMATTA;2150;;;20010428;20010613;192500;;R;RESIDENCE;5;;;;7757570;
C;089;815572;66;20011109 09:19;5//16377;
D;089;815572;66;20011109 09:19;P;;;;;;
D;089;815572;66;20011109 09:19;V;;;;;;
D;089;815572;66;20011109 09:19;V;;;;;;
B;089;815584;67;20011109 09:19;;1;519;CHURCH ST;PARRAMATTA;2150;;;20010512;20010625;143000;;R;RESIDENCE;1;;;;7734323;
C;089;815584;67;20011109 09:19;1//42595;
D;089;815584;67;20011109 09:19;P;;;;;;
D;089;815584;67;20011109 09:19;V;;;;;;
B;089;815618;68;20011109 09:19;;11;485;CHURCH ST;PARRAMATTA;2150;;;20010528;20010709;195000;;R;RESIDENCE;11;;;;7791402;
C;089;815618;68;20011109 09:19;11//SP 12164;
D;089;815618;68;20011109 09:19;P;;;;;;
D;089;815618;68;20011109 09:19;V;;;;;;
B;089;815981;69;20011109 09:19;;;10;CLARKE ST;RYDALMERE;2116;872.6;M;20010531;20010712;408500;A;R;RESIDENCE;;AE;;;7774477;
C;089;815981;69;20011109 09:19;19//26544;
D;089;815981;69;20011109 09:19;P;;;;;;
D;089;815981;69;20011109 09:19;P;;;;;;
D;089;815981;69;20011109 09:19;V;;;;;;
B;089;816106;70;20011109 09:19;;;1;CLOVER CL;CARLINGFORD;2118;657.6;M;20010705;20010705;130000;A;R;RESIDENCE;;AE;;;7762430;
C;089;816106;70;20011109 09:19;1//216758;
D;089;816106;70;20011109 09:19;P;;;;;;
D;089;816106;70;20011109 09:19;P;;;;;;
D;089;816106;70;20011109 09:19;V;;;;;;
B;089;816205;71;20011109 09:19;;;187;CLYDE ST;GRANVILLE;2142;539.5;M;20010502;20010627;245000;A;R;RESIDENCE;;BC;;;7759746;
C;089;816205;71;20011109 09:19;258//800653;
D;089;816205;71;20011109 09:19;P;;;;;;
D;089;816205;71;20011109 09:19;P;;;;;;
D;089;816205;71;20011109 09:19;V;;;;;;
D;089;816205;71;20011109 09:19;V;;;;;;
B;089;816354;72;20011109 09:19;;;136;CLYDE ST;GRANVILLE;2142;155.6;M;20010524;20010705;175000;A;R;RESIDENCE;;BC;;;7775794;
C;089;816354;72;20011109 09:19;1//621750;
D;089;816354;72;20011109 09:19;P;;;;;;
D;089;816354;72;20011109 09:19;V;;;;;;
B;089;816469;73;20011109 09:19;;5;5;CLYDE ST;RYDALMERE;2116;;;20010604;20010622;740000;;3;INDUSTRIAL ;5;;;;7721891;
C;089;816469;73;20011109 09:19;5//SP 55127;
D;089;816469;73;20011109 09:19;P;;;;;;
D;089;816469;73;20011109 09:19;P;;;;;;
D;089;816469;73;20011109 09:19;P;;;;;;
D;089;816469;73;20011109 09:19;V;;;;;;
B;089;816873;74;20011109 09:19;;14;40;COOYONG CRES;TOONGABBIE;2146;;;20010426;20010704;195000;;R;RESIDENCE;14;;;;7762238;
C;089;816873;74;20011109 09:19;14//SP 51941;
D;089;816873;74;20011109 09:19;P;;;;;;
D;089;816873;74;20011109 09:19;P;;;;;;
D;089;816873;74;20011109 09:19;V;;;;;;
B;089;817133;75;20011109 09:19;;9;60;COWPER ST;GRANVILLE;2142;;;20010426;20010607;222000;;R;RESIDENCE;9;;;;7736872;
C;089;817133;75;20011109 09:19;9//SP 60505;
D;089;817133;75;20011109 09:19;P;;;;;;
D;089;817133;75;20011109 09:19;P;;;;;;
D;089;817133;75;20011109 09:19;V;;;;;;
D;089;817133;75;20011109 09:19;V;;;;;;
B;089;817234;76;20011109 09:19;;7;19;COWPER ST;HARRIS PARK;2150;;;20010517;20010629;165000;;R;RESIDENCE;7;;;;7747765;
C;089;817234;76;20011109 09:19;7//40275;
D;089;817234;76;20011109 09:19;P;;;;;;
D;089;817234;76;20011109 09:19;V;;;;;;
B;089;817544;77;20011109 09:19;;;44;CROWGEY ST;RYDALMERE;2116;;;20010516;20010629;328000;A;R;RESIDENCE;;AE;;;7736056;
C;089;817544;77;20011109 09:19;135//12523;
D;089;817544;77;20011109 09:19;P;;;;;;
D;089;817544;77;20011109 09:19;V;;;;;;
D;089;817544;77;20011109 09:19;V;;;;;;
B;089;817556;78;20011109 09:19;;;53;CROWGEY ST;RYDALMERE;2116;;;20010602;20010713;395000;A;R;RESIDENCE;;AE;;;7780034;
C;089;817556;78;20011109 09:19;87//12523;
D;089;817556;78;20011109 09:19;P;;;;;;
D;089;817556;78;20011109 09:19;V;;;;;;
D;089;817556;78;20011109 09:19;V;;;;;;
B;089;817878;79;20011109 09:19;;;23;DARCY RD;WESTMEAD;2145;548.9;M;20010320;20010710;315000;A;R;RESIDENCE;;BQ;;;7793758;
C;089;817878;79;20011109 09:19;101//881646;
D;089;817878;79;20011109 09:19;P;;;;;;
D;089;817878;79;20011109 09:19;P;;;;;;
